name,t1_accuracy,t2_accuracy,t3_accuracy,rewards
Iterations/BERT-final,0.22414542924241107,0.39097155779768633,0.524832565016961,-1.728958079450707
Iterations/BERT-final/Positivity/RLHF25,0.21970948943202576,0.3803166043315648,0.5129164129772984,-1.7396209052296943
Iterations/BERT-final/Positivity/RLHF50,0.22210141776115508,0.38375228320431415,0.5174828216056363,-1.6308039964867926
Iterations/BERT-final/Positivity/RLHF75,0.2177524571627381,0.3764895190049578,0.507697660259198,-1.514158164938672
Iterations/BERT-final/Positivity/RLHF100,0.21792641558667478,0.3778376967904671,0.5091328172566757,-1.408249380341418
Iterations/BERT-final/Positivity/RLHF125,0.2070975036966165,0.3712272766808733,0.5034356788727494,-1.2581607271092465
Iterations/BERT-final/Positivity/RLHF150,0.209271983995825,0.3717926415586675,0.5014786466034618,-1.2019534150500877
Iterations/BERT-final/Positivity/RLHF175,0.20026963555710187,0.36013742715491,0.49195442289292857,-1.2561472558113294
Iterations/BERT-final/Positivity/RLHF200,0.19774723841002,0.356310341828303,0.4885187440201792,-0.9786281814008391
Iterations/BERT-final/Positivity/RLHF225,0.19896494737757675,0.3592241454292424,0.4891710881099417,-1.033964277548501
Iterations/BERT-final/Positivity/RLHF250,0.202357136644342,0.3608332608506567,0.48991041141167263,-1.0061234239656431
